player_extended_name;overall;position;age;height;weight;intl_rep;pace;dribbling;shooting;passing;defending;physicality;att_workrate;def_workrate
Mahmut Tekdemir;73;CDM;30;178;68;1;62.0;70.0;59.0;65.0;72.0;73.0;Med;Med
João Pedro da Costa Gamboa;72;CDM;22;187;80;1;64.0;70.0;55.0;66.0;68.0;72.0;Med;Med
Pajtim Kasami;72;RM;26;188;70;1;66.0;70.0;68.0;70.0;56.0;78.0;Med;Med
Eirik Ulland Andersen;72;LM;26;181;73;1;80.0;70.0;65.0;72.0;43.0;63.0;Med;Med
Ronaël Pierre-Gabriel;72;RB;20;177;76;1;81.0;70.0;49.0;61.0;68.0;70.0;Med;Med
Ezgjan Alioski;72;RM;26;172;63;1;83.0;70.0;70.0;66.0;54.0;68.0;Med;Med
José Cevallos;71;CAM;23;186;76;1;70.0;70.0;63.0;71.0;35.0;70.0;Med;Med
Israel Damonte;71;CDM;36;176;72;1;57.0;70.0;64.0;70.0;69.0;70.0;Med;Med
Nélson Ricardo Rodrigues Lenho;71;LB;34;178;71;1;68.0;70.0;47.0;71.0;67.0;74.0;Med;Med
Jordan Obita;71;LB;24;180;74;1;78.0;70.0;63.0;70.0;67.0;65.0;Med;Med
Xavier Mercier;71;CAM;29;174;71;1;77.0;70.0;67.0;70.0;41.0;55.0;Med;Med
Shkëlzen Gashi;71;LM;30;182;75;1;69.0;70.0;72.0;70.0;54.0;71.0;Med;Med
Ricardo Noir;71;LM;31;174;69;1;81.0;70.0;69.0;66.0;43.0;71.0;Med;Med
Afonso Rebeiro Figueiredo;71;LB;25;171;64;1;75.0;70.0;42.0;61.0;69.0;65.0;Med;Med
Marlon Piedrahita;71;RB;33;175;79;1;77.0;70.0;62.0;68.0;65.0;72.0;Med;Med
Eren Albayrak;71;LB;27;179;69;1;80.0;70.0;66.0;71.0;66.0;63.0;Med;Med
Jed Wallace;71;RM;24;178;70;1;78.0;70.0;64.0;68.0;45.0;65.0;Med;Med
Nick Powell;71;CAM;24;183;65;1;70.0;70.0;69.0;65.0;43.0;65.0;Med;Med
Giuseppe Pezzella;71;LB;20;187;85;1;79.0;70.0;52.0;64.0;67.0;76.0;Med;Med
Thomas Ouwejan;71;LB;22;183;72;1;74.0;70.0;52.0;68.0;68.0;69.0;Med;Med
Gabriel Suazo;70;LM;21;175;67;1;71.0;70.0;62.0;65.0;60.0;70.0;Med;Med
Marco Davide Faraoni;70;RB;26;180;71;1;70.0;70.0;58.0;69.0;65.0;73.0;Med;Med
Mauricio Gómez;70;LM;24;186;72;1;72.0;70.0;62.0;66.0;60.0;71.0;Med;Med
Moreno Costanzo;70;CAM;30;179;74;1;62.0;70.0;69.0;66.0;54.0;63.0;Med;Med
Gastón Díaz;70;RB;30;175;75;1;78.0;70.0;55.0;70.0;63.0;71.0;Med;Med
James Troisi;70;CAM;30;176;75;1;74.0;70.0;66.0;69.0;37.0;67.0;Med;Med
Pawel Olkowski;70;RB;28;184;76;1;77.0;70.0;57.0;63.0;65.0;73.0;Med;Med
Radim ?ezník;70;RB;29;183;80;1;72.0;70.0;58.0;57.0;68.0;68.0;Med;Med
Dimitri Foulquier;70;RB;25;183;78;1;71.0;70.0;51.0;62.0;69.0;70.0;Med;Med
Ronaldo Vieira Nan;70;CDM;20;178;70;1;78.0;70.0;56.0;64.0;66.0;79.0;Med;Med
Róbert Pich;69;LM;29;176;68;1;81.0;70.0;67.0;63.0;28.0;50.0;Med;Med
Stéphane Darbion;69;LM;34;183;77;1;55.0;70.0;71.0;72.0;63.0;69.0;Med;Med
Filip Starzynski;69;CAM;27;184;72;1;42.0;70.0;63.0;75.0;48.0;56.0;Med;Med
Sam Morsy;69;CDM;27;173;75;1;66.0;70.0;56.0;63.0;64.0;76.0;Med;Med
Ricky Holmes;69;LM;31;172;75;1;78.0;70.0;62.0;64.0;28.0;64.0;Med;Med
Damian K?dzior;69;RM;26;175;74;1;80.0;70.0;61.0;66.0;44.0;62.0;Med;Med
Carlos Araujo;69;RB;36;172;69;1;65.0;70.0;45.0;64.0;70.0;67.0;Med;Med
Daryl van Mieghem;69;RM;28;170;68;1;89.0;70.0;63.0;65.0;26.0;47.0;Med;Med
Edwin Hernández;69;LB;32;166;72;1;74.0;70.0;59.0;65.0;65.0;67.0;Med;Med
Jaime Gómez;69;RB;25;176;65;1;78.0;70.0;58.0;63.0;64.0;67.0;Med;Med
Fabio Daprelà;68;CB;27;183;76;1;76.0;70.0;57.0;61.0;65.0;78.0;Med;Med
Filipe Morais;68;RM;32;175;83;1;72.0;70.0;54.0;67.0;48.0;65.0;Med;Med
André Filipe Claro de Jesus;68;LM;27;183;75;1;69.0;70.0;64.0;62.0;37.0;65.0;Med;Med
Robert Mazá?;68;LB;24;180;75;1;55.0;70.0;47.0;62.0;68.0;61.0;Med;Med
Alexis Saelemaekers;68;RM;19;176;66;1;76.0;70.0;53.0;69.0;59.0;55.0;Med;Med
Adrián Luna;68;RM;26;169;62;1;87.0;70.0;65.0;64.0;35.0;47.0;Med;Med
Yoel Bárcenas;68;LM;24;175;72;1;82.0;70.0;59.0;63.0;28.0;52.0;Med;Med
Aias Aosman;68;CAM;23;175;75;1;78.0;70.0;63.0;66.0;36.0;65.0;Med;Med
Josh Vela;68;CAM;24;185;70;1;69.0;70.0;57.0;68.0;60.0;74.0;Med;Med
Luka Adži?;67;LM;20;184;78;1;75.0;70.0;64.0;64.0;33.0;60.0;Med;Med
Martin Kobylanski;67;CF;24;178;75;1;74.0;70.0;66.0;64.0;33.0;58.0;Med;Med
Ludcinio Marengo;67;LW;27;175;70;1;87.0;70.0;54.0;56.0;25.0;58.0;Med;Med
Tommy Thompson;67;RM;23;170;65;1;71.0;70.0;58.0;62.0;51.0;59.0;Med;Med
Leonardo Rolón;67;RM;23;171;70;1;78.0;70.0;46.0;65.0;46.0;64.0;Med;Med
Diego Rojas;67;CAM;23;164;52;1;60.0;70.0;55.0;68.0;34.0;40.0;Med;Med
Mathieu Cafaro;67;CAM;21;172;65;1;72.0;70.0;65.0;65.0;44.0;60.0;Med;Med
Aleksandar Boljevic;67;RM;22;184;77;1;78.0;70.0;58.0;60.0;26.0;60.0;Med;Med
Ferdi Kadioglu;67;CAM;18;173;64;1;72.0;70.0;59.0;65.0;33.0;54.0;Med;Med
Ray Sandoval;67;RW;23;171;72;1;77.0;70.0;66.0;62.0;23.0;60.0;Med;Med
Patrick McEleney;67;CAM;26;180;84;1;76.0;70.0;62.0;61.0;55.0;56.0;Med;Med
Godsway Donyoh;67;LW;23;179;71;1;89.0;70.0;66.0;55.0;28.0;56.0;Med;Med
Mauricio Tévez;66;RW;22;170;69;1;83.0;70.0;60.0;62.0;25.0;58.0;Med;Med
Gael Acosta;66;LM;26;165;64;1;86.0;70.0;54.0;62.0;43.0;56.0;Med;Med
Tony Mauricio;66;RM;24;169;67;1;75.0;70.0;66.0;59.0;30.0;49.0;Med;Med
Kristoffer Larsen;66;LM;26;183;74;1;72.0;70.0;61.0;57.0;36.0;60.0;Med;Med
Cheng Piao;66;CDM;29;176;69;1;73.0;70.0;61.0;66.0;58.0;70.0;Med;Med
Burak Camoglu;66;RM;22;173;67;1;83.0;70.0;35.0;59.0;56.0;55.0;Med;Med
Owen Wijndal;66;LB;18;176;65;1;84.0;70.0;38.0;56.0;62.0;59.0;Med;Med
Giovanni Korte;66;RM;25;170;71;1;85.0;70.0;62.0;56.0;36.0;61.0;Med;Med
Nasiru Mohammed;66;RW;24;172;70;1;86.0;70.0;55.0;58.0;22.0;43.0;Med;Med
Floriano Vanzo;66;RM;24;178;80;1;64.0;70.0;64.0;62.0;50.0;67.0;Med;Med
Santiago Lizana;66;CAM;26;167;68;1;73.0;70.0;58.0;54.0;41.0;58.0;Med;Med
Ariel Martínez;65;LM;24;176;69;1;68.0;70.0;62.0;61.0;41.0;66.0;Med;Med
Cristian Palomeque;65;LM;24;170;72;1;83.0;70.0;60.0;60.0;38.0;66.0;Med;Med
Nicolás Oroz;65;LM;24;173;73;1;76.0;70.0;53.0;62.0;52.0;55.0;Med;Med
Christian Bravo;65;RW;25;168;70;1;82.0;70.0;61.0;56.0;30.0;62.0;Med;Med
Mohamed Gouaida;65;CAM;25;178;72;1;77.0;70.0;51.0;61.0;31.0;58.0;Med;Med
Happy Jele;65;CB;31;181;70;1;66.0;70.0;55.0;63.0;67.0;58.0;Med;Med
Hendrick Ekstein;65;CAM;27;174;65;1;75.0;70.0;54.0;60.0;40.0;44.0;Med;Med
Jean-Ricner Bellegarde;65;CDM;20;170;66;1;69.0;70.0;48.0;62.0;62.0;62.0;Med;Med
Baris Atik;64;CAM;23;170;72;1;71.0;70.0;54.0;59.0;32.0;50.0;Med;Med
Abdulmajeed Al Sulayhim;63;CDM;24;171;63;1;73.0;70.0;51.0;62.0;58.0;64.0;Med;Med
Amir Adouyev;62;CAM;19;184;77;1;75.0;70.0;54.0;59.0;35.0;55.0;Med;Med
Stefano Denswil;76;CB;25;185;81;1;54.0;65.0;58.0;66.0;75.0;78.0;Med;Med
Mason Holgate;76;CB;21;184;75;1;70.0;65.0;42.0;63.0;76.0;73.0;Med;Med
Ibrahima Konaté;73;CB;19;192;84;1;75.0;65.0;24.0;48.0;71.0;74.0;Med;Med
Josué Humberto Gonçalves Leal Sá;72;CB;26;187;78;1;52.0;65.0;36.0;49.0;73.0;73.0;Med;Med
Baldomero Perlaza;72;CDM;26;187;83;1;52.0;65.0;45.0;60.0;72.0;79.0;Med;Med
Yann Bodiger;72;CDM;23;188;80;1;52.0;65.0;57.0;69.0;70.0;73.0;Med;Med
Marco Ilaimaharitra;71;CDM;23;177;79;1;64.0;65.0;50.0;64.0;67.0;75.0;Med;Med
Federico Lértora;71;CDM;28;176;73;1;63.0;65.0;51.0;66.0;72.0;74.0;Med;Med
George Thorne;71;CDM;25;188;84;1;55.0;65.0;61.0;68.0;68.0;71.0;Med;Med
José San Román;70;RB;30;172;70;1;65.0;65.0;21.0;54.0;72.0;70.0;Med;Med
Artur Jedrzejczyk;70;RB;30;189;78;1;70.0;65.0;50.0;61.0;67.0;76.0;Med;Med
Paddy McNair;70;CDM;23;183;72;1;64.0;65.0;56.0;59.0;72.0;72.0;Med;Med
Tyrone Mings;70;LB;25;196;77;1;69.0;65.0;37.0;61.0;70.0;76.0;Med;Med
Matt Targett;70;LB;23;183;70;1;71.0;65.0;37.0;63.0;69.0;66.0;Med;Med
Jordi Vanlerberghe;69;CDM;22;190;85;1;74.0;65.0;59.0;67.0;67.0;73.0;Med;Med
Florian Tardieu;69;CDM;26;179;73;1;62.0;65.0;60.0;67.0;67.0;69.0;Med;Med
Giannis Maniatis;69;CDM;31;175;68;1;67.0;65.0;59.0;66.0;68.0;69.0;Med;Med
Ashley Richards;69;RB;27;175;75;1;68.0;65.0;44.0;62.0;68.0;70.0;Med;Med
Théo Pellenard;69;LB;24;184;78;1;64.0;65.0;36.0;61.0;70.0;69.0;Med;Med
Rafael Scapini de Almeida;68;RB;36;184;78;1;59.0;65.0;60.0;65.0;69.0;67.0;Med;Med
Jhonny Vásquez;68;CDM;31;177;76;1;65.0;65.0;39.0;62.0;65.0;72.0;Med;Med
Fábio Diogo Agrela Ferreira;68;LB;26;178;68;1;68.0;65.0;39.0;56.0;66.0;63.0;Med;Med
Hai Yu;68;LB;31;183;70;1;73.0;65.0;52.0;65.0;64.0;66.0;Med;Med
Boban Jovic;68;RB;27;178;69;1;79.0;65.0;43.0;63.0;65.0;61.0;Med;Med
Abdul Aziz Al Jebreen;68;CDM;28;179;73;1;63.0;65.0;66.0;68.0;62.0;72.0;Med;Med
Daigo Nishi;67;RB;31;176;73;1;55.0;65.0;48.0;64.0;64.0;76.0;Med;Med
Sakib Aytaç;67;LB;26;187;85;1;73.0;65.0;49.0;61.0;66.0;71.0;Med;Med
Chris Philipps;67;CDM;24;182;80;1;61.0;65.0;37.0;62.0;63.0;73.0;Med;Med
Christoffer Remmer;67;RB;25;182;79;1;72.0;65.0;46.0;62.0;63.0;69.0;Med;Med
Chris McCann;67;CDM;31;185;75;1;56.0;65.0;58.0;67.0;63.0;70.0;Med;Med
Kazuya Yamamura;67;CAM;28;186;80;1;62.0;65.0;67.0;66.0;60.0;77.0;Med;Med
Wilder Cartagena;67;CDM;24;180;72;1;69.0;65.0;50.0;60.0;67.0;66.0;Med;Med
Joe Newell;67;LM;25;185;79;1;77.0;65.0;60.0;66.0;59.0;62.0;Med;Med
Eric Larsson;67;RB;27;175;68;1;78.0;65.0;55.0;63.0;61.0;70.0;Med;Med
Greg Tansey;67;CDM;29;185;78;1;66.0;65.0;67.0;68.0;62.0;77.0;Med;Med
Christian Gebauer;66;RM;24;187;75;1;84.0;65.0;58.0;59.0;37.0;58.0;Med;Med
Nelson Ferreira;66;LM;36;175;72;1;71.0;65.0;65.0;64.0;49.0;66.0;Med;Med
Kristoffer Andersen;66;CAM;32;183;73;1;58.0;65.0;57.0;66.0;58.0;62.0;Med;Med
Ricardo Darío Blanco;66;CAM;28;163;64;1;65.0;65.0;61.0;67.0;34.0;46.0;Med;Med
Mohammed Al Shalhoub;66;CAM;37;163;66;1;36.0;65.0;64.0;71.0;39.0;34.0;Med;Med
Lars Hutten;66;CAM;28;181;72;1;69.0;65.0;66.0;65.0;59.0;70.0;Med;Med
Matías Sánchez;66;CDM;31;173;71;1;69.0;65.0;50.0;60.0;62.0;65.0;Med;Med
Abdullah Al Salem;66;CAM;25;184;74;1;66.0;65.0;65.0;60.0;54.0;68.0;Med;Med
Óscar Rojas;66;RB;37;172;67;1;65.0;65.0;47.0;64.0;64.0;66.0;Med;Med
Tyrone Mears;66;RB;35;180;74;1;65.0;65.0;50.0;65.0;64.0;68.0;Med;Med
Christopher Forrester;66;CDM;25;180;68;1;76.0;65.0;59.0;62.0;64.0;67.0;Med;Med
Mauricio Restrepo;66;CDM;37;174;70;1;55.0;65.0;45.0;62.0;64.0;65.0;Med;Med
Ouasim Bouy;66;CB;25;181;79;1;59.0;65.0;58.0;64.0;65.0;65.0;Med;Med
Valeriane Gvilia;66;CAM;24;182;79;1;64.0;65.0;62.0;66.0;49.0;64.0;Med;Med
Manuel Palacios;66;RM;25;180;83;1;85.0;65.0;62.0;54.0;48.0;68.0;Med;Med
Wouter Marinus;65;LM;23;177;73;1;72.0;65.0;62.0;60.0;36.0;58.0;Med;Med
Georgiy Melkadze;65;LM;21;182;84;1;74.0;65.0;60.0;59.0;48.0;74.0;Med;Med
Quentin Maceiras;65;RB;22;181;75;1;81.0;65.0;56.0;60.0;62.0;68.0;Med;Med
Shawn Maurice Barry;65;RB;28;183;77;1;79.0;65.0;48.0;57.0;59.0;73.0;Med;Med
Darwin López;65;RM;26;176;77;1;78.0;65.0;61.0;57.0;35.0;68.0;Med;Med
Razak Boukari;65;RW;31;187;70;1;77.0;65.0;61.0;61.0;29.0;57.0;Med;Med
Andrea Beghetto;65;LM;23;182;73;1;71.0;65.0;43.0;64.0;56.0;60.0;Med;Med
Reinhold Ranftl;64;RM;26;180;75;1;72.0;65.0;46.0;56.0;58.0;62.0;Med;Med
Abdulmajeed Al Suwat;64;CAM;23;168;57;1;66.0;65.0;59.0;59.0;44.0;61.0;Med;Med
Aly Ndom;64;CDM;22;188;80;1;58.0;65.0;54.0;59.0;62.0;66.0;Med;Med
Hassane Kamara;64;LM;24;168;67;1;75.0;65.0;58.0;58.0;41.0;54.0;Med;Med
Alex Gilliead;64;RM;22;183;70;1;81.0;65.0;55.0;56.0;28.0;59.0;Med;Med
Johan Bertilsson;64;CF;30;177;68;1;71.0;65.0;61.0;63.0;32.0;59.0;Med;Med
Lucas Jensen;63;RM;23;184;75;1;85.0;65.0;52.0;53.0;34.0;55.0;Med;Med
Elias Andersson;63;LM;22;178;74;1;61.0;65.0;52.0;67.0;46.0;58.0;Med;Med
Chaouki Ben Saada;63;RM;34;170;65;1;60.0;65.0;63.0;64.0;41.0;42.0;Med;Med
Yuanyi Li;63;RM;25;180;70;1;67.0;65.0;57.0;58.0;46.0;59.0;Med;Med
Andreas Ivan;63;RM;23;178;75;1;75.0;65.0;57.0;58.0;46.0;59.0;Med;Med
Gian Filippo Felicioli;63;LB;21;180;77;1;65.0;65.0;54.0;58.0;60.0;60.0;Med;Med
Nathan Delfouneso;63;RM;27;186;78;1;68.0;65.0;61.0;57.0;27.0;56.0;Med;Med
Mohammed Dauda;63;CF;20;175;70;1;85.0;65.0;65.0;53.0;23.0;54.0;Med;Med
Dzenis Kozica;63;RM;25;180;78;1;74.0;65.0;56.0;58.0;41.0;58.0;Med;Med
Lorenzo Rajot;63;CDM;20;179;68;1;72.0;65.0;48.0;61.0;61.0;58.0;Med;Med
Michal Janota;63;CAM;28;171;74;1;71.0;65.0;62.0;61.0;40.0;68.0;Med;Med
Nick Freeman;62;LW;22;180;78;1;77.0;65.0;51.0;58.0;32.0;56.0;Med;Med
Réda Rabei;62;CAM;24;179;77;1;59.0;65.0;61.0;58.0;30.0;54.0;Med;Med
Nagisa Sakurauchi;62;RM;29;176;73;1;70.0;65.0;42.0;58.0;54.0;69.0;Med;Med
Julius Ertlthaler;62;CAM;21;169;62;1;70.0;65.0;46.0;59.0;38.0;45.0;Med;Med
Delano Burgzorg;61;RM;19;186;76;1;74.0;65.0;55.0;53.0;24.0;57.0;Med;Med
Jordan Allen;61;LW;23;178;72;1;69.0;65.0;52.0;57.0;57.0;63.0;Med;Med
Ryan Harley;61;LM;33;175;70;1;52.0;65.0;60.0;62.0;50.0;62.0;Med;Med
Andreas Bruhn;61;RM;24;187;76;1;65.0;65.0;52.0;57.0;34.0;55.0;Med;Med
Ryohei Yamazaki;61;LM;29;173;76;1;70.0;65.0;64.0;50.0;22.0;58.0;Med;Med
Bismar Córdoba;61;CAM;26;185;74;1;65.0;65.0;56.0;57.0;25.0;55.0;Med;Med
Antonin Bobichon;61;RM;23;180;70;1;66.0;65.0;59.0;58.0;30.0;54.0;Med;Med
Kristófer Ingi Kristinsson;61;LW;19;190;71;1;67.0;65.0;55.0;58.0;38.0;55.0;Med;Med
Filip Sachpekidis;60;LM;21;180;76;1;70.0;65.0;50.0;56.0;37.0;56.0;Med;Med
Natsuhiko Watanabe;60;RM;23;170;65;1;72.0;65.0;53.0;53.0;30.0;54.0;Med;Med
Jonathan Morsay;59;RW;21;177;75;1;75.0;65.0;51.0;51.0;33.0;49.0;Med;Med
Lukas Fadinger;59;CAM;18;172;65;1;67.0;65.0;52.0;53.0;36.0;42.0;Med;Med
Antonio López;59;LW;21;172;66;1;59.0;65.0;56.0;59.0;39.0;42.0;Med;Med
Papa Kouli Diop;77;CDM;32;179;77;1;52.0;68.0;66.0;68.0;76.0;86.0;Med;Med
Nery Domínguez;76;CDM;28;184;81;1;58.0;68.0;64.0;70.0;74.0;77.0;Med;Med
Kevin McDonald;75;CDM;29;192;95;1;55.0;68.0;59.0;71.0;72.0;75.0;Med;Med
Marcel Tisserand;75;CB;25;190;80;1;69.0;68.0;59.0;69.0;73.0;76.0;Med;Med
Vincent Laurini;74;RB;29;173;72;1;78.0;68.0;33.0;60.0;71.0;71.0;Med;Med
Nuno Miguel Jerónimo Sequeira;73;LB;28;184;79;1;68.0;68.0;57.0;63.0;72.0;69.0;Med;Med
Michael Pérez;73;CDM;25;169;75;1;73.0;68.0;52.0;67.0;70.0;72.0;Med;Med
Axel Tuanzebe;73;CB;20;185;72;1;78.0;68.0;34.0;59.0;72.0;72.0;Med;Med
Stijn Wuytens;73;CB;28;183;74;1;59.0;68.0;60.0;73.0;74.0;73.0;Med;Med
Chris Mavinga;73;CB;27;185;78;1;79.0;68.0;39.0;64.0;71.0;77.0;Med;Med
Maximiliano Caire;72;RB;30;177;70;1;82.0;68.0;38.0;59.0;70.0;75.0;Med;Med
Maksym Malyshev;72;CDM;25;181;76;1;72.0;68.0;65.0;66.0;67.0;74.0;Med;Med
Yevhen Makarenko;72;CDM;27;184;84;1;71.0;68.0;57.0;70.0;70.0;73.0;Med;Med
Nicola Murru;72;LB;23;180;64;1;76.0;68.0;40.0;58.0;69.0;71.0;Med;Med
Olivier Boscagli;71;LB;20;181;68;1;64.0;68.0;28.0;64.0;71.0;71.0;Med;Med
Yoann Andreu;71;LB;29;178;70;1;65.0;68.0;28.0;62.0;71.0;68.0;Med;Med
Fernando H. Boldrin;71;CAM;29;181;75;1;67.0;68.0;68.0;70.0;59.0;63.0;Med;Med
Joey Pelupessy;71;CDM;25;172;63;1;69.0;68.0;43.0;63.0;68.0;77.0;Med;Med
Maciej Makuszewski;71;RM;29;176;70;1;90.0;68.0;66.0;65.0;45.0;70.0;Med;Med
Matteo Tosetti;71;RM;26;176;68;1;82.0;68.0;56.0;70.0;41.0;60.0;Med;Med
Carlos Miguel Ribeiro Dias;71;CDM;25;183;84;1;64.0;68.0;67.0;62.0;66.0;83.0;Med;Med
Pablo Ledesma;71;CDM;34;178;79;1;50.0;68.0;55.0;73.0;63.0;73.0;Med;Med
Mix Diskerud;70;RM;28;184;68;1;68.0;68.0;65.0;70.0;57.0;70.0;Med;Med
Aurélien Tchouaméni;70;CDM;18;185;76;1;68.0;68.0;51.0;62.0;67.0;70.0;Med;Med
Morteza Pouraliganji;70;CB;26;187;74;1;68.0;68.0;57.0;61.0;69.0;70.0;Med;Med
Stefan Schwab;70;CDM;28;183;78;1;71.0;68.0;65.0;70.0;63.0;80.0;Med;Med
Kasper Hämäläinen;70;LM;32;187;74;1;75.0;68.0;69.0;66.0;48.0;64.0;Med;Med
Kelvin Leerdam;70;RB;28;178;70;1;74.0;68.0;57.0;65.0;67.0;73.0;Med;Med
Dhurgham Ismail;69;LB;24;178;75;1;79.0;68.0;63.0;66.0;66.0;63.0;Med;Med
Jesús Paganoni;69;RB;30;169;65;1;78.0;68.0;56.0;61.0;64.0;66.0;Med;Med
Waleed Bakhashwain;69;CDM;28;176;66;1;65.0;68.0;45.0;59.0;67.0;79.0;Med;Med
Nicolás Domínguez;68;CDM;20;179;73;1;71.0;68.0;61.0;65.0;66.0;65.0;Med;Med
Nuno Vieira Campos;68;RB;25;173;70;1;78.0;68.0;41.0;59.0;63.0;64.0;Med;Med
Vedat Bora;68;RM;23;175;68;1;78.0;68.0;53.0;68.0;42.0;54.0;Med;Med
Nils Schouterden;68;LM;29;176;65;1;77.0;68.0;57.0;67.0;52.0;64.0;Med;Med
Gilberto García;68;RB;31;180;75;1;75.0;68.0;61.0;70.0;63.0;75.0;Med;Med
César Cortés;68;CAM;34;179;69;1;64.0;68.0;59.0;66.0;38.0;58.0;Med;Med
Antonee Robinson;68;LB;21;181;64;1;85.0;68.0;34.0;45.0;66.0;67.0;Med;Med
Dawid Kort;68;CAM;23;176;65;1;66.0;68.0;61.0;64.0;37.0;50.0;Med;Med
Yoann Court;68;LM;28;172;70;1;72.0;68.0;61.0;69.0;38.0;64.0;Med;Med
Sergio Peña;68;CAM;23;177;74;1;68.0;68.0;63.0;67.0;46.0;54.0;Med;Med
Mauro Bogado;68;CDM;33;170;68;1;67.0;68.0;66.0;67.0;61.0;64.0;Med;Med
Hiroyuki Abe;68;CAM;29;170;69;1;77.0;68.0;60.0;64.0;32.0;54.0;Med;Med
Kévin Hoggas;68;CAM;26;183;77;1;66.0;68.0;66.0;69.0;44.0;67.0;Med;Med
Gustavo Torres;68;RW;22;181;77;1;79.0;68.0;62.0;60.0;54.0;70.0;Med;Med
Karim Azamoum;67;CDM;28;178;74;1;61.0;68.0;58.0;71.0;61.0;63.0;Med;Med
Mamadou Fall;67;RM;26;184;72;1;82.0;68.0;63.0;61.0;29.0;68.0;Med;Med
Luciano Slagveer;67;RM;25;178;74;1;92.0;68.0;59.0;57.0;40.0;61.0;Med;Med
Andrew Shinnie;67;CAM;29;180;70;1;60.0;68.0;57.0;68.0;50.0;61.0;Med;Med
Josh Morris;67;LM;27;182;72;1;68.0;68.0;66.0;66.0;57.0;67.0;Med;Med
Ivan Yagan;67;LM;28;176;74;1;71.0;68.0;70.0;65.0;22.0;58.0;Med;Med
Lloyd Isgrove;67;RM;25;178;72;1;88.0;68.0;51.0;58.0;34.0;61.0;Med;Med
Damjan Bohar;67;RM;26;172;69;1;81.0;68.0;58.0;62.0;33.0;49.0;Med;Med
Guus Hupperts;67;RM;26;176;78;1;78.0;68.0;63.0;61.0;43.0;64.0;Med;Med
Manfred Starke;67;CF;27;179;81;1;76.0;68.0;69.0;64.0;33.0;63.0;Med;Med
Lalaina Nomenjanahary;67;RW;32;177;76;1;79.0;68.0;56.0;64.0;46.0;57.0;Med;Med
Philani Zulu;67;LM;26;178;70;1;75.0;68.0;69.0;62.0;60.0;61.0;Med;Med
Mickaël Barreto;67;CAM;27;174;63;1;78.0;68.0;61.0;65.0;27.0;59.0;Med;Med
Karlo Bartolec;67;RWB;23;176;78;1;80.0;68.0;50.0;60.0;61.0;65.0;Med;Med
Johnatan Opoku;67;CAM;28;185;82;1;69.0;68.0;61.0;64.0;42.0;66.0;Med;Med
Hiroki Kawano;66;RM;28;168;65;1;64.0;68.0;61.0;61.0;56.0;60.0;Med;Med
Brayner De Alba;66;CAM;25;168;65;1;81.0;68.0;54.0;66.0;35.0;44.0;Med;Med
Riku Riski;66;RW;29;174;68;1;81.0;68.0;63.0;61.0;50.0;60.0;Med;Med
Jingdao Jin;66;RM;26;170;64;1;72.0;68.0;57.0;59.0;63.0;53.0;Med;Med
Luis Sinisterra;66;RW;19;177;70;1;81.0;68.0;60.0;60.0;37.0;53.0;Med;Med
Patrick Möschl;66;RW;25;174;68;1;84.0;68.0;55.0;61.0;38.0;57.0;Med;Med
Jonathan Ring;66;RM;26;182;74;1;79.0;68.0;55.0;61.0;50.0;64.0;Med;Med
Amari'i Bell;66;LB;24;180;77;1;82.0;68.0;47.0;54.0;60.0;67.0;Med;Med
Francis Amuzu;66;LM;19;170;65;1;87.0;68.0;59.0;60.0;26.0;55.0;Med;Med
Atomu Tanaka;66;CAM;31;167;68;1;80.0;68.0;62.0;61.0;55.0;61.0;Med;Med
Ramon Pascal Lundqvist;66;CAM;21;178;74;1;73.0;68.0;61.0;60.0;31.0;58.0;Med;Med
Michael Gonçalves Pinto;66;LB;25;176;77;1;68.0;68.0;34.0;61.0;63.0;63.0;Med;Med
Abdullah Al Joui;65;RW;23;167;66;1;82.0;68.0;52.0;60.0;24.0;43.0;Med;Med
Jacob Bruun Larsen;65;LM;20;183;75;1;75.0;68.0;57.0;60.0;49.0;61.0;Med;Med
Alexandre De Bruyn;65;CAM;24;178;69;1;72.0;68.0;64.0;60.0;31.0;55.0;Med;Med
Enzio Boldewijn;65;RM;25;185;76;1;86.0;68.0;59.0;54.0;30.0;59.0;Med;Med
Eberechi Eze;65;CAM;20;173;67;1;72.0;68.0;58.0;58.0;41.0;62.0;Med;Med
Elson Hooi;65;LW;27;169;61;1;91.0;68.0;54.0;58.0;24.0;42.0;Med;Med
Yakou Meité;65;RM;22;184;82;1;83.0;68.0;61.0;53.0;34.0;67.0;Med;Med
Marcin Budzinski;65;CDM;28;184;80;1;56.0;68.0;65.0;65.0;56.0;70.0;Med;Med
Hansel Zapata;64;RM;23;182;77;1;75.0;68.0;57.0;56.0;40.0;64.0;Med;Med
Kingsley Madu;64;LB;22;174;80;1;77.0;68.0;54.0;62.0;60.0;71.0;Med;Med
Florian Chabrolle;64;CAM;20;171;65;1;66.0;68.0;56.0;63.0;31.0;46.0;Med;Med
Sebastian Saucedo;64;LW;21;170;66;1;69.0;68.0;58.0;61.0;42.0;46.0;Med;Med
Jason Bourdouxhe;64;LB;27;173;68;1;77.0;68.0;59.0;59.0;60.0;56.0;Med;Med
Davor Lovren;64;RM;20;172;70;1;77.0;68.0;54.0;56.0;25.0;44.0;Med;Med
